Zone,Hospital,Type,Date,Measure Name,Actual,CTAS
Central,Twin Oaks Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,1,1
Northern,Cumberland Regional Health Care Centre,Regional Hospital,2023-12-01,Emergency Visits CTAS,5,2
Central,Twin Oaks Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,1,5
Central,Twin Oaks Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,12,4
Eastern,Strait Richmond Hospital,Community Hospital,2023-12-01,Admits,26,
Central,Twin Oaks Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,12,3
Northern,Cumberland Regional Health Care Centre,Regional Hospital,2023-12-01,Emergency Visits CTAS,748,3
Central,Twin Oaks Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,258,3
Central,Twin Oaks Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,419,4
Central,Twin Oaks Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,2,2
IWK,IWK Health Centre,Tertiary Hospital,2023-12-01,Emergency Visits CTAS,"1,132",2
IWK,IWK Health Centre,Tertiary Hospital,2023-12-01,Emergency Visits CTAS,16,1
IWK,IWK Health Centre,Tertiary Hospital,2023-12-01,Emergency Visits CTAS,"1,301",3
IWK,IWK Health Centre,Tertiary Hospital,2023-12-01,Emergency Visits CTAS,"1,494",4
IWK,IWK Health Centre,Tertiary Hospital,2023-12-01,Emergency Visits CTAS,33,5
IWK,IWK Health Centre,Tertiary Hospital,2023-12-01,Emergency Visits CTAS,37,3
IWK,IWK Health Centre,Tertiary Hospital,2023-12-01,Emergency Visits CTAS,47,4
IWK,IWK Health Centre,Tertiary Hospital,2023-12-01,Emergency Visits CTAS,2,5
IWK,IWK Health Centre,Tertiary Hospital,2023-12-01,Emergency Visits CTAS,28,2
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Discharges,8,
Eastern,Cape Breton Regional Hospice,Hospice,2023-12-01,Discharges,6,
Eastern,Inverness Consolidated Memorial Hospital,Community Hospital,2023-12-01,Discharges,57,
Eastern,Inverness Consolidated Memorial Hospital,Community Hospital,2023-12-01,Discharges,3,
Eastern,Sacred Heart Community Health Centre,Community Hospital,2023-12-01,Discharges,27,
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Discharges,255,
Western,Queens General Hospital,Community Hospital,2023-12-01,Discharges,33,
Western,Roseway Hospital,Community Hospital,2023-12-01,Discharges,24,
Eastern,Cape Breton Complex,Regional Hospital,2023-12-01,Surgical Cases,"1,582",
Eastern,Cape Breton Complex,Regional Hospital,2023-12-01,Surgical Cases,6,
Western,Soldiers' Memorial Hospital,Community Hospital,2023-12-01,Admits,1,
Western,Soldiers' Memorial Hospital,Community Hospital,2023-12-01,Admits,30,
Western,Soldiers' Memorial Hospital,Community Hospital,2023-12-01,Discharges,29,
Central,Eastern Shore Memorial Hospital,Community Hospital,2023-12-01,Admits,3,
Western,South Shore Regional Hospital,Regional Hospital,2023-12-01,Discharges,232,
Western,South Shore Regional Hospital,Regional Hospital,2023-12-01,Discharges,4,
Western,Valley Regional Hospital,Regional Hospital,2023-12-01,Discharges,616,
Western,Valley Regional Hospital,Regional Hospital,2023-12-01,Discharges,10,
Western,Yarmouth Regional Hospital,Regional Hospital,2023-12-01,Discharges,318,
Western,Yarmouth Regional Hospital,Regional Hospital,2023-12-01,Discharges,8,
Central,Cobequid Community Health Centre,Community Hospital,2023-12-01,Emergency Visits,"4,208",
Central,Cobequid Community Health Centre,Community Hospital,2023-12-01,Emergency Visits,114,
Central,Dartmouth General Hospital,Regional Hospital,2023-12-01,Emergency Visits,115,
Central,Dartmouth General Hospital,Regional Hospital,2023-12-01,Emergency Visits,"3,702",
Western,Roseway Hospital,Community Hospital,2023-12-01,Admits,27,
Central,Eastern Shore Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,4,
Central,Hants Community Hospital,Community Hospital,2023-12-01,Emergency Visits,45,
Central,Twin Oaks Memorial Hospital,Community Hospital,2023-12-01,Discharges,1,
Central,Twin Oaks Memorial Hospital,Community Hospital,2023-12-01,Discharges,18,
Western,Yarmouth Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,1,1
Northern,Lillian Fraser Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,1,4
Eastern,Victoria County Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,67,5
Eastern,Victoria County Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,128,3
Eastern,Victoria County Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,484,4
Eastern,Victoria County Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,15,4
Eastern,Victoria County Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,2,5
Eastern,Victoria County Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,15,2
Eastern,Victoria County Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,2,2
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Discharges,10,
Central,Dartmouth General Hospital,Regional Hospital,2023-12-01,Discharges,14,
Central,Dartmouth General Hospital,Regional Hospital,2023-12-01,Surgical Cases,"1,038",
Central,Dartmouth General Hospital,Regional Hospital,2023-12-01,Surgical Cases,4,
Central,Hants Community Hospital,Community Hospital,2023-12-01,Emergency Visits,"1,309",
Central,Musquodoboit Valley Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,3,
Central,QEII,Tertiary Hospital,2023-12-01,Emergency Visits,"6,064",
Central,QEII,Tertiary Hospital,2023-12-01,Emergency Visits,186,
Central,Twin Oaks Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,805,
Central,Twin Oaks Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,27,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Emergency Visits,244,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Emergency Visits,9,
Eastern,Strait Richmond Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,154,4
Eastern,Strait Richmond Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,2,0
Eastern,Strait Richmond Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,95,3
Eastern,Strait Richmond Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,27,5
Eastern,Strait Richmond Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,19,2
Central,QEII,Tertiary Hospital,2023-12-01,Discharges,28,
Central,QEII,Tertiary Hospital,2023-12-01,Discharges,"2,135",
Western,Yarmouth Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,15,2
Central,Dartmouth General Hospital,Regional Hospital,2023-12-01,Discharges,515,
Eastern,St. Mary's Memorial Hospital,Community Hospital,2023-12-01,Discharges,6,
Eastern,Strait Richmond Hospital,Community Hospital,2023-12-01,Discharges,1,
Eastern,Strait Richmond Hospital,Community Hospital,2023-12-01,Discharges,28,
Western,Queens General Hospital,Community Hospital,2023-12-01,Admits,2,
Western,Queens General Hospital,Community Hospital,2023-12-01,Admits,33,
Eastern,Cape Breton Complex,Regional Hospital,2023-12-01,Emergency Visits,"3,441",
Eastern,Cape Breton Complex,Regional Hospital,2023-12-01,Emergency Visits,90,
Western,South Shore Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,32,3
Western,South Shore Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,8,2
Western,South Shore Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,12,5
Western,South Shore Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,431,4
Western,South Shore Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,872,3
Eastern,Eastern Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,121,
Eastern,Eastern Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,2,
Western,South Shore Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,267,2
Western,South Shore Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,4,1
Western,South Shore Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,13,4
Eastern,Inverness Consolidated Memorial Hospital,Community Hospital,2023-12-01,Surgical Cases,46,
Western,Fishermen's Memorial Hospital,Community Hospital,2023-12-01,Admits,18,
Eastern,Guysborough Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,9,
Eastern,St. Mary's Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,33,3
Eastern,St. Mary's Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,7,2
Eastern,St. Mary's Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,125,4
Eastern,St. Mary's Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,26,5
Eastern,St. Mary's Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,1,3
Eastern,St. Mary's Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,3,4
Eastern,St. Mary's Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,1,1
Eastern,Cape Breton Complex,Regional Hospital,2023-12-01,Discharges,25,
Central,Musquodoboit Valley Memorial Hospital,Community Hospital,2023-12-01,Discharges,4,
Eastern,Victoria County Memorial Hospital,Community Hospital,2023-12-01,Discharges,11,
IWK,IWK Health Centre,Tertiary Hospital,2023-12-01,Discharges,35,
Eastern,Guysborough Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,198,
Eastern,Inverness Consolidated Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,909,
Eastern,Inverness Consolidated Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,22,
IWK,IWK Health Centre,Tertiary Hospital,2023-12-01,Discharges,"1,493",
Central,Twin Oaks Memorial Hospital,Community Hospital,2023-12-01,Admits,19,
Central,Twin Oaks Memorial Hospital,Community Hospital,2023-12-01,Admits,1,
Eastern,Sacred Heart Community Health Centre,Community Hospital,2023-12-01,Emergency Visits,249,
Eastern,Sacred Heart Community Health Centre,Community Hospital,2023-12-01,Emergency Visits,12,
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Discharges,433,
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits,"1,667",
Western,Digby General Hospital,Community Hospital,2023-12-01,Admits,30,
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits,47,
Eastern,St. Mary's Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,204,
Eastern,St. Mary's Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,4,
Western,Yarmouth Regional Hospital,Regional Hospital,2023-12-01,Surgical Cases,492,
Eastern,Strait Richmond Hospital,Community Hospital,2023-12-01,Emergency Visits,313,
Eastern,Victoria County Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,19,
Eastern,Victoria County Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,694,
IWK,IWK Health Centre,Tertiary Hospital,2023-12-01,Emergency Visits,"4,017",
IWK,IWK Health Centre,Tertiary Hospital,2023-12-01,Emergency Visits,115,
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits,"2,276",
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Emergency Visits,69,
Northern,All Saints Springhill Hospital,Community Hospital,2023-12-01,Emergency Visits,176,
Western,Annapolis Community Health Centre,Community Hospital,2023-12-01,Admits,6,
Northern,Colchester East Hants Health Centre,Regional Hospital,2023-12-01,Emergency Visits,"2,565",
Northern,Colchester East Hants Health Centre,Regional Hospital,2023-12-01,Emergency Visits,83,
Northern,Cumberland Regional Health Care Centre,Regional Hospital,2023-12-01,Emergency Visits,"2,169",
Northern,Cumberland Regional Health Care Centre,Regional Hospital,2023-12-01,Emergency Visits,52,
Central,Nova Scotia Hospital,Tertiary Hospital,2023-12-01,Discharges,1,
Central,Nova Scotia Hospital,Tertiary Hospital,2023-12-01,Discharges,48,
Eastern,Cape Breton Complex,Regional Hospital,2023-12-01,Discharges,876,
Northern,Aberdeen Hospital,Regional Hospital,2023-12-01,Discharges,9,
Central,QEII,Tertiary Hospital,2023-12-01,Surgical Cases,38,
Central,QEII,Tertiary Hospital,2023-12-01,Surgical Cases,"3,626",
Northern,North Cumberland Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,1,3
Western,Yarmouth Regional Hospital,Regional Hospital,2023-12-01,Admits,16,
Northern,Lillian Fraser Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,3,
Northern,North Cumberland Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,184,
Western,Yarmouth Regional Hospital,Regional Hospital,2023-12-01,Admits,321,
Eastern,Buchanan Memorial Community Health Centre,Community Hospital,2023-12-01,Admits,10,
Northern,North Cumberland Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,2,4
Northern,North Cumberland Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,18,5
Northern,North Cumberland Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,120,4
Northern,North Cumberland Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,35,3
Northern,North Cumberland Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,8,2
Northern,North Cumberland Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,2,0
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,7,2
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,4,1
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,231,2
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,771,3
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,41,5
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,21,3
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,18,4
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,1,5
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,620,4
Western,South Shore Regional Hospital,Regional Hospital,2023-12-01,Surgical Cases,2,
Northern,All Saints Springhill Hospital,Community Hospital,2023-12-01,Discharges,31,
Western,Yarmouth Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,32,3
Eastern,Guysborough Memorial Hospital,Community Hospital,2023-12-01,Discharges,16,
Western,Yarmouth Regional Hospital,Regional Hospital,2023-12-01,Emergency Visits CTAS,15,4
Northern,North Cumberland Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,3,
Western,Annapolis Community Health Centre,Community Hospital,2023-12-01,Emergency Visits,225,
Western,Soldiers' Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,16,5
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Surgical Cases,512,
Northern,Sutherland Harris Memorial Hospital,Community Hospital,2023-12-01,Admits,25,
Western,Soldiers' Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,369,4
Western,Soldiers' Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,163,3
Western,Digby General Hospital,Community Hospital,2023-12-01,Emergency Visits,603,
Eastern,Eastern Memorial Hospital,Community Hospital,2023-12-01,Discharges,9,
Western,Digby General Hospital,Community Hospital,2023-12-01,Emergency Visits,18,
Western,Soldiers' Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,38,2
Central,Hants Community Hospital,Community Hospital,2023-12-01,Discharges,48,
Eastern,Cape Breton Complex,Regional Hospital,2023-12-01,Admits,887,
Eastern,Cape Breton Complex,Regional Hospital,2023-12-01,Admits,25,
Western,Soldiers' Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits CTAS,1,1
Western,Fishermen's Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,679,
Eastern,Sacred Heart Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,19,2
Eastern,Sacred Heart Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,89,3
Eastern,Sacred Heart Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,43,5
Eastern,Sacred Heart Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,9,3
Eastern,Sacred Heart Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,2,4
Eastern,Sacred Heart Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,1,5
Eastern,Sacred Heart Community Health Centre,Community Hospital,2023-12-01,Emergency Visits CTAS,92,4
Northern,Colchester East Hants Health Centre,Regional Hospital,2023-12-01,Emergency Visits CTAS,66,5
Northern,Colchester East Hants Health Centre,Regional Hospital,2023-12-01,Emergency Visits CTAS,1,5
Northern,Colchester East Hants Health Centre,Regional Hospital,2023-12-01,Emergency Visits CTAS,21,4
Northern,Colchester East Hants Health Centre,Regional Hospital,2023-12-01,Emergency Visits CTAS,25,2
Northern,Colchester East Hants Health Centre,Regional Hospital,2023-12-01,Emergency Visits CTAS,493,4
Northern,Colchester East Hants Health Centre,Regional Hospital,2023-12-01,Emergency Visits CTAS,"1,216",3
Western,Fishermen's Memorial Hospital,Community Hospital,2023-12-01,Emergency Visits,22,
Eastern,St. Martha's Regional Hospital,Regional Hospital,2023-12-01,Surgical Cases,2,
Northern,Colchester East Hants Health Centre,Regional Hospital,2023-12-01,Emergency Visits CTAS,767,2
Eastern,Cape Breton Regional Hospice,Hospice,2023-12-01,Admits,5,
Northern,Colchester East Hants Health Centre,Regional Hospital,2023-12-01,Emergency Visits CTAS,23,1
Northern,South Cumberland Community Care Centre,Community Hospital,2023-12-01,Admits,1,
Western,Queens General Hospital,Community Hospital,2023-12-01,Emergency Visits,789,
